TESTNUM,POINTNUM,TIME,POSIT,FORCE,EXT,CH5,CH6,CH7,CH8
886,1,0.263,0,22.54225159,0.00769984,,,,
886,2,8.022,0,34.15237808,-9.168E-05,,,,
886,3,10.428,0,38.054142,-0.00020167,,,,
886,4,11.425,0,42.19975662,-0.0004125,,,,
886,5,11.827,0,46.89852142,-0.000495,,,,
886,6,12.124,0,52.41212845,-0.00075165,,,,
886,7,12.427,0,57.17631149,-0.00108166,,,,
886,8,12.724,0,62.63043213,-0.00140248,,,,
886,9,12.922,0,66.79388428,-0.00156747,,,,
886,10,13.126,0,71.08222961,-0.00184247,,,,
886,11,13.324,0,76.00104523,-0.00189748,,,,
886,12,13.422,0,81.05070496,-0.00207163,,,,
886,13,13.625,0,86.69513702,-0.00201663,,,,
886,14,13.822,0,93.20200348,-0.00171414,,,,
886,15,14.024,0,100.6426468,0,,,,
886,16,14.124,0,104.5205841,-7.333E-05,,,,
886,17,14.227,0,108.612648,0,,,,
886,18,14.325,0,112.7046967,0.00032082,,,,
886,19,14.424,0,117.3677292,0.00055915,,,,
886,20,14.522,0,122.351944,0.00096247,,,,
886,21,14.627,0,132.7842865,0.00172328,,,,
886,22,14.822,0,144.0671387,0.0025391,,,,
886,23,14.926,0,149.9137421,0.00282327,,,,
886,24,15.022,0,156.7179413,0.00364825,,,,
886,25,15.126,0,163.718399,0.00406073,,,,
886,26,15.231,0,170.6831665,0.00454657,,,,
886,27,15.327,0,177.9631653,0.00518821,,,,
886,28,15.427,0,185.6416473,0.00555487,,,,
886,29,15.524,0,193.5342407,0.00627903,,,,
886,30,15.626,0,201.9264374,0.00689318,,,,
886,31,15.722,0,210.9252777,0.00772733,,,,
886,32,15.823,0,220.4534607,0.00845149,,,,
886,33,15.926,0,230.1184387,0.00949645,,,,
886,34,16.025,0,250.6021576,0.01176057,,,,
886,35,16.122,0,261.1294861,0.01277806,,,,
886,36,16.222,0,272.4359741,0.01398804,,,,
886,37,16.324,0,283.8375854,0.01519801,,,,
886,38,16.426,0,295.2094421,0.01642631,,,,
886,39,16.524,0,306.926239,0.01769129,,,,
886,40,16.626,0,318.6133118,0.01893794,,,,
886,41,16.723,0,330.5382385,0.020001249,,,,
886,42,16.829,0,342.6296997,0.02161454,,,,
886,43,16.925,0,354.828186,0.023035349,,,,
886,44,17.027,0,367.5262451,0.024355309,,,,
886,45,17.123,0,379.9507446,0.025601961,,,,
886,46,17.223,0,392.5773926,0.027013609,,,,
886,47,17.322,0,417.9971924,0.029800219,,,,
886,48,17.422,0,431.7419434,0.031440999,,,,
886,49,17.523,0,445.6234436,0.033008471,,,,
886,50,17.626,0,458.9042053,0.034465939,,,,
886,51,17.723,0,471.9708862,0.036051739,,,,
886,52,17.826,0,485.0731812,0.037637539,,,,
886,53,17.922,0,498.8951111,0.039085861,,,,
886,54,18.025,0,512.8717041,0.040754151,,,,
886,55,18.127,0,527.2824097,0.042679101,,,,
886,56,18.225,0,542.2283325,0.044484898,,,,
886,57,18.326,0,556.9066162,0.04617155,,,,
886,58,18.425,0,572.2866821,0.04796816,,,,
886,59,18.522,0,603.8079834,0.052065589,,,,
886,60,18.627,0,620.7223511,0.053733889,,,,
886,61,18.723,0,637.6069946,0.05546635,,,,
886,62,18.825,0,654.6818237,0.057712141,,,,
886,63,18.926,0,673.3446655,0.05994875,,,,
886,64,19.026,0,692.2512817,0.062194541,,,,
886,65,19.122,0,712.0083618,0.064651147,,,,
886,66,19.223,0,733.1569824,0.067226939,,,,
886,67,19.323,0,754.6862183,0.069610223,,,,
886,68,19.425,0,776.381897,0.07245183,,,,
886,69,19.533,0,799.0291138,0.075082608,,,,
886,70,19.624,0,821.598877,0.07788755,,,,
886,71,19.724,0,844.5731201,0.080738328,,,,
886,72,19.823,0,891.9129639,0.086769871,,,,
886,73,19.925,0,916.2785034,0.089831457,,,,
886,74,20.022,0,940.5192261,0.093122236,,,,
886,75,20.124,0,965.1761475,0.096211337,,,,
886,76,20.226,0,990.2492676,0.099483773,,,,
886,77,20.322,0,1015.655334,0.102912031,,,,
886,78,20.427,0,1041.935547,0.106285296,,,,
886,79,20.525,0,1068.78064,0.109722733,,,,
