Cd,T1_Re3.000_M0.00_N9.0, , Cd,T1_Re3.000_M0.00_N9.0, , Cd,T1_Re3.000_M0.00_N9.0, , 
    0.1397248,    -0.9261278, ,     0.1778241,    -0.9635381, ,     0.2195169,    -0.9351057, , 
    0.1343897,    -0.9354213, ,     0.1599365,     -1.024586, ,     0.2062038,    -0.9657245, , 
     0.116321,     -1.014215, ,     0.1400397,     -1.102798, ,     0.1942999,    -0.9938982, , 
     0.103766,     -1.068881, ,     0.1252573,     -1.167837, ,     0.1845115,     -1.015828, , 
   0.09762204,      -1.13599, ,     0.1152177,     -1.212394, ,     0.1729939,     -1.046535, , 
   0.09283669,      -1.15268, ,      0.105056,     -1.256432, ,     0.1608206,     -1.082114, , 
   0.08540034,     -1.183702, ,    0.09724989,     -1.286104, ,     0.1475395,      -1.12557, , 
   0.08142936,     -1.192898, ,    0.09023836,     -1.311436, ,     0.1326611,     -1.179699, , 
   0.07166269,     -1.222541, ,    0.08384532,     -1.331986, ,     0.1189105,     -1.231786, , 
    0.0664808,     -1.239942, ,    0.07816193,     -1.348483, ,     0.1077343,     -1.273154, , 
   0.06351471,     -1.242982, ,    0.07322075,     -1.360832, ,    0.09858355,     -1.305189, , 
   0.06104622,     -1.242905, ,     0.0686986,     -1.371196, ,    0.09095718,     -1.330375, , 
   0.05869287,      -1.24202, ,    0.06445616,     -1.380241, ,    0.08443313,     -1.350021, , 
   0.05471901,     -1.253791, ,    0.06093258,     -1.384101, ,    0.07870466,     -1.366096, , 
   0.05260402,      -1.25131, ,    0.05747506,     -1.387706, ,    0.07364588,     -1.378482, , 
   0.05073982,     -1.246546, ,     0.0540871,     -1.391111, ,    0.06904743,      -1.38872, , 
   0.04888057,     -1.241507, ,    0.05137207,     -1.390139, ,    0.06498283,     -1.395825, , 
   0.04576247,     -1.246995, ,     0.0484889,     -1.390912, ,    0.06117193,     -1.401435, , 
    0.0440846,     -1.240868, ,    0.04601817,     -1.388482, ,    0.05771759,     -1.405047, , 
   0.04256411,     -1.233476, ,    0.04356868,      -1.38595, ,    0.05455105,     -1.406615, , 
   0.04108159,     -1.225913, ,    0.04126455,     -1.382548, ,    0.05160061,      -1.40688, , 
   0.03924515,     -1.221275, ,    0.03919896,     -1.377616, ,    0.04886118,      -1.40589, , 
   0.03730429,     -1.217988, ,    0.03710974,     -1.373561, ,    0.04631686,     -1.403401, , 
   0.03610788,     -1.208227, ,    0.03534263,     -1.367083, ,    0.04396442,     -1.399766, , 
   0.03502154,     -1.197362, ,    0.03348853,     -1.361064, ,     0.0417844,     -1.395001, , 
   0.03399508,     -1.186024, ,    0.03188646,      -1.35292, ,    0.03950938,     -1.391627, , 
    0.0337566,     -1.165396, ,    0.03027339,     -1.345028, ,     0.0365896,     -1.395764, , 
   0.03220833,     -1.159744, ,    0.02881741,     -1.335949, ,    0.03421459,     -1.394902, , 
   0.03136157,      -1.14721, ,    0.02742478,     -1.326041, ,    0.03223585,     -1.390424, , 
    0.0305582,     -1.133857, ,    0.02609298,     -1.315498, ,    0.03053781,     -1.383238, , 
   0.02977374,      -1.12041, ,    0.02489184,     -1.303842, ,    0.02903237,     -1.374352, , 
   0.02891626,     -1.107895, ,     0.0237127,     -1.292227, ,    0.02765745,     -1.364229, , 
    0.0277839,     -1.098877, ,    0.02267027,      -1.27921, ,    0.02637998,     -1.353414, , 
   0.02712335,     -1.084601, ,     0.0216465,     -1.266047, ,    0.02517548,     -1.342002, , 
   0.02585287,     -1.078542, ,    0.02072607,     -1.252091, ,     0.0240463,     -1.330146, , 
   0.02388455,     -1.077071, ,    0.01991461,     -1.237199, ,    0.02298602,      -1.31778, , 
   0.02228534,     -1.069831, ,    0.01918256,      -1.22155, ,    0.02199491,     -1.305033, , 
   0.02096959,     -1.060309, ,    0.01851821,     -1.205605, ,    0.02107066,     -1.291836, , 
   0.01969147,     -1.054546, ,    0.01786432,     -1.190425, ,    0.02021665,     -1.278221, , 
   0.01873159,     -1.044585, ,    0.01722614,     -1.176013, ,    0.01944576,     -1.263964, , 
   0.01780233,     -1.034955, ,    0.01663339,     -1.162332, ,    0.01874951,     -1.249175, , 
   0.01686822,     -1.027861, ,    0.01607681,     -1.147156, ,    0.01811363,     -1.234123, , 
   0.01610946,     -1.016049, ,    0.01548427,     -1.103207, ,    0.01751936,     -1.219213, , 
   0.01533554,    -0.9976258, ,    0.01504163,     -1.075712, ,    0.01659222,     -1.212287, , 
   0.01477605,    -0.9976581, ,    0.01434351,      -1.08399, ,    0.01590215,      -1.20529, , 
   0.01425367,     -0.995931, ,    0.01332284,     -1.056545, ,    0.01522363,     -1.170772, , 
   0.01386011,    -0.9971881, ,    0.01298496,     -1.037537, ,    0.01480957,     -1.145119, , 
   0.01355208,     -1.007187, ,    0.01265598,     -1.016418, ,     0.0144887,      -1.12854, , 
   0.01322562,    -0.9968337, ,    0.01237718,    -0.9947111, ,    0.01416472,     -1.109922, , 
   0.01290544,     -0.981491, ,    0.01210447,    -0.9717402, ,      0.013834,     -1.089917, , 
   0.01259187,    -0.9636513, ,    0.01183822,    -0.9481851, ,    0.01351267,     -1.068948, , 
    0.0122783,    -0.9436796, ,    0.01158178,    -0.9245678, ,     0.0132093,     -1.047088, , 
   0.01198421,        -0.922, ,    0.01132993,     -0.900454, ,    0.01264728,     -1.001048, , 
   0.01167136,    -0.9000357, ,    0.01107106,    -0.8756888, ,    0.01220334,    -0.9793166, , 
   0.01138136,    -0.8772908, ,    0.01083489,    -0.8506961, ,    0.01188205,    -0.9558162, , 
    0.0111181,     -0.853932, ,    0.01062388,    -0.8254945, ,    0.01160459,     -0.931281, , 
   0.01087445,    -0.8299529, ,    0.01040952,    -0.7997188, ,    0.01135195,    -0.9063111, , 
   0.01063344,    -0.8053045, ,    0.01020361,    -0.7735936, ,    0.01111209,     -0.881036, , 
   0.01038494,    -0.7800266, ,   0.009981401,    -0.7477799, ,    0.01088454,    -0.8552902, , 
   0.01014236,    -0.7543044, ,   0.009667406,    -0.7228335, ,    0.01065479,    -0.8296359, , 
  0.009914701,    -0.7282664, ,   0.009428035,    -0.6964387, ,    0.01035444,    -0.8041562, , 
  0.009704828,    -0.7019915, ,   0.009240617,    -0.6696411, ,    0.01013366,    -0.7780174, , 
  0.009515496,    -0.6755389, ,   0.009096557,    -0.6425787, ,   0.009929425,     -0.751375, , 
  0.009337468,    -0.6488747, ,   0.008963573,    -0.6151058, ,   0.009757349,     -0.724488, , 
  0.009122179,    -0.6222429, ,   0.008789681,    -0.5876423, ,   0.009522077,    -0.6979151, , 
  0.008938538,    -0.5948859, ,   0.008582928,    -0.5605279, ,   0.009332017,    -0.6709344, , 
  0.008746832,     -0.567346, ,   0.008425339,    -0.5331637, ,   0.009177161,    -0.6435503, , 
  0.008567538,    -0.5396535, ,    0.00828902,    -0.5053277, ,   0.008984667,    -0.6163223, , 
  0.008411147,    -0.5117867, ,   0.008168905,    -0.4771057, ,   0.008816217,    -0.5889126, , 
  0.007776107,     -0.400121, ,   0.008029308,     -0.449105, ,   0.008678152,    -0.5610496, , 
   0.00766993,    -0.3713897, ,   0.007871893,    -0.4213743, ,   0.008504596,    -0.5334985, , 
   0.00755763,    -0.3425614, ,   0.007740002,    -0.3932926, ,   0.008354668,    -0.5055636, , 
  0.007436202,    -0.3137819, ,   0.007542585,    -0.3652689, ,   0.008216931,    -0.4776122, , 
  0.007305971,    -0.2850991, ,   0.007337106,    -0.3373675, ,   0.008062863,    -0.4495745, , 
  0.007191774,    -0.2564186, ,   0.007129833,    -0.3095811, ,   0.007919125,    -0.4215156, , 
  0.007052896,    -0.2279237, ,   0.006921113,    -0.2817706, ,   0.007759269,    -0.3934049, , 
  0.006869107,    -0.1995539, ,   0.006643733,    -0.2538547, ,   0.007586613,    -0.3653737, , 
  0.006655939,    -0.1711138, ,   0.006232871,    -0.2265636, ,   0.007378844,    -0.3374578, , 
  0.006384371,    -0.1426927, ,   0.005756971,     -0.199559, ,   0.007160929,    -0.3095131, , 
  0.005518957,   -0.05643849, ,   0.005350028,    -0.1722034, ,   0.006914767,      -0.28169, , 
  0.005243499,   -0.02758055, ,   0.004998511,    -0.1444149, ,   0.006617914,    -0.2539569, , 
   0.00490862,   0.001093257, ,   0.004888345,    -0.1151544, ,   0.006231474,    -0.2266945, , 
  0.004834517,    0.03034319, ,   0.004855613,   -0.08565468, ,   0.005783176,    -0.1994083, , 
  0.004838907,    0.05973409, ,   0.004797297,   -0.05639753, ,    0.00534414,    -0.1721784, , 
  0.004720773,    0.08880126, ,   0.004797236,   -0.02705477, ,   0.005041299,     -0.144028, , 
  0.004740479,     0.1181326, ,   0.004753949,    0.00215806, ,   0.004953155,    -0.1149739, , 
  0.004668392,     0.1476101, ,   0.004723709,    0.03177477, ,   0.004911394,   -0.08568752, , 
  0.004637585,     0.1771187, ,   0.004672697,    0.06123536, ,   0.004865441,   -0.05631945, , 
  0.004680487,     0.2063562, ,   0.004669978,    0.09071402, ,   0.004836809,   -0.02707547, , 
  0.004796687,     0.2351571, ,    0.00469261,     0.1201245, ,   0.004795025,   0.002342071, , 
  0.004850277,     0.2644898, ,   0.004701412,     0.1494184, ,   0.004767921,    0.03170575, , 
  0.004841346,     0.2938419, ,   0.004685987,     0.1790491, ,   0.004758418,    0.06104727, , 
  0.005005387,     0.3220148, ,   0.004684497,     0.2086931, ,   0.004739384,    0.09057319, , 
  0.005046275,     0.3511389, ,    0.00470546,     0.2382434, ,   0.004741361,     0.1199885, , 
  0.006291748,     0.4298103, ,   0.004737606,     0.2676571, ,   0.004745618,     0.1494417, , 
  0.006601526,     0.4567022, ,   0.004765478,     0.2968444, ,   0.004746022,     0.1789573, , 
  0.006832499,     0.4841544, ,   0.004766246,     0.3263313, ,   0.004768562,     0.2378307, , 
  0.007169839,     0.5104953, ,   0.004788458,     0.3557011, ,   0.004789137,     0.2672737, , 
  0.007472929,     0.5367959, ,   0.004848813,     0.3848054, ,   0.004813534,      0.296631, , 
  0.007642465,     0.5641557, ,   0.004911375,     0.4139477, ,   0.004835953,      0.325935, , 
  0.007948489,     0.5899395, ,   0.004979849,      0.442709, ,   0.004873831,     0.3552323, , 
  0.008244268,     0.6156683, ,   0.005016548,     0.4718081, ,    0.00491222,      0.384378, , 
   0.00839476,     0.6429037, ,   0.005050063,     0.5010225, ,   0.004948819,     0.4135727, , 
  0.008571841,     0.6698179, ,   0.005175653,     0.5294238, ,   0.005011283,     0.4425905, , 
   0.00874211,     0.6967357, ,   0.005275109,      0.558079, ,   0.005061239,     0.4715775, , 
  0.008893845,     0.7237738, ,   0.005506993,      0.585158, ,    0.00513862,     0.5004368, , 
  0.009053181,     0.7504084, ,   0.006099408,     0.6086339, ,   0.005220145,     0.5291275, , 
  0.009414519,     0.7741133, ,   0.006722014,     0.6318046, ,   0.005316316,     0.5577199, , 
