     Cd       T1_Re3.000_M0.00_N9.0    
    0.2195169        -0.9351057  
    0.2062038        -0.9657245  
    0.1942999        -0.9938982  
    0.1845115         -1.015828  
    0.1729939         -1.046535  
    0.1608206         -1.082114  
    0.1475395          -1.12557  
    0.1326611         -1.179699  
    0.1189105         -1.231786  
    0.1077343         -1.273154  
   0.09858355         -1.305189  
   0.09095718         -1.330375  
   0.08443313         -1.350021  
   0.07870466         -1.366096  
   0.07364588         -1.378482  
   0.06904743          -1.38872  
   0.06498283         -1.395825  
   0.06117193         -1.401435  
   0.05771759         -1.405047  
   0.05455105         -1.406615  
   0.05160061          -1.40688  
   0.04886118          -1.40589  
   0.04631686         -1.403401  
   0.04396442         -1.399766  
    0.0417844         -1.395001  
   0.03950938         -1.391627  
    0.0365896         -1.395764  
   0.03421459         -1.394902  
   0.03223585         -1.390424  
   0.03053781         -1.383238  
   0.02903237         -1.374352  
   0.02765745         -1.364229  
   0.02637998         -1.353414  
   0.02517548         -1.342002  
    0.0240463         -1.330146  
   0.02298602          -1.31778  
   0.02199491         -1.305033  
   0.02107066         -1.291836  
   0.02021665         -1.278221  
   0.01944576         -1.263964  
   0.01874951         -1.249175  
   0.01811363         -1.234123  
   0.01751936         -1.219213  
   0.01659222         -1.212287  
   0.01590215          -1.20529  
   0.01522363         -1.170772  
   0.01480957         -1.145119  
    0.0144887          -1.12854  
   0.01416472         -1.109922  
     0.013834         -1.089917  
   0.01351267         -1.068948  
    0.0132093         -1.047088  
   0.01264728         -1.001048  
   0.01220334        -0.9793166  
   0.01188205        -0.9558162  
   0.01160459         -0.931281  
   0.01135195        -0.9063111  
   0.01111209         -0.881036  
   0.01088454        -0.8552902  
   0.01065479        -0.8296359  
   0.01035444        -0.8041562  
   0.01013366        -0.7780174  
  0.009929425         -0.751375  
  0.009757349         -0.724488  
  0.009522077        -0.6979151  
  0.009332017        -0.6709344  
  0.009177161        -0.6435503  
  0.008984667        -0.6163223  
  0.008816217        -0.5889126  
  0.008678152        -0.5610496  
  0.008504596        -0.5334985  
  0.008354668        -0.5055636  
  0.008216931        -0.4776122  
  0.008062863        -0.4495745  
  0.007919125        -0.4215156  
  0.007759269        -0.3934049  
  0.007586613        -0.3653737  
  0.007378844        -0.3374578  
  0.007160929        -0.3095131  
  0.006914767          -0.28169  
  0.006617914        -0.2539569  
  0.006231474        -0.2266945  
  0.005783176        -0.1994083  
   0.00534414        -0.1721784  
  0.005041299         -0.144028  
  0.004953155        -0.1149739  
  0.004911394       -0.08568752  
  0.004865441       -0.05631945  
  0.004836809       -0.02707547  
  0.004795025       0.002342071  
  0.004767921        0.03170575  
  0.004758418        0.06104727  
  0.004739384        0.09057319  
  0.004741361         0.1199885  
  0.004745618         0.1494417  
  0.004746022         0.1789573  
  0.004768562         0.2378307  
  0.004789137         0.2672737  
  0.004813534          0.296631  
  0.004835953          0.325935  
  0.004873831         0.3552323  
   0.00491222          0.384378  
  0.004948819         0.4135727  
  0.005011283         0.4425905  
  0.005061239         0.4715775  
   0.00513862         0.5004368  
  0.005220145         0.5291275  
  0.005316316         0.5577199  
  0.005461683         0.5858342  
  0.005881394         0.6112167  
  0.007011524         0.6591497  
  0.007460786         0.6841151  
  0.007884247         0.7090235  
   0.00825631         0.7344453  
  0.008561497         0.7602691  
  0.008854758         0.7862406  
  0.009133928         0.8120912  
  0.009388545         0.8382328  
   0.00961048         0.8644707  
   0.01004322         0.9168824  
    0.0102406         0.9431828  
   0.01046291         0.9689494  
   0.01067807         0.9947473  
   0.01089258          1.020347  
   0.01115317          1.045203  
   0.01137008          1.070501  
    0.0116424           1.09476  
    0.0118997          1.119133  
   0.01217099          1.142946  
   0.01251077          1.165527  
   0.01277742          1.188908  
   0.01306471          1.211488  
   0.01338667          1.233159  
   0.01415734          1.272634  
   0.01447351          1.291681  
   0.01479878          1.306857  
   0.01516666            1.3206  
   0.01596248          1.343717  
   0.01702447          1.373221  
   0.01770779          1.386356  
   0.01848734           1.39846  
   0.01939842          1.409083  
   0.02039907          1.419017  
    0.0212233          1.432282  
   0.02210918          1.445058  
   0.02306009          1.457311  
   0.02406678          1.469159  
   0.02513241          1.480651  
   0.02626415          1.491577  
   0.02747676          1.501896  
   0.02877672          1.511506  
   0.03015299          1.520535  
   0.03160964          1.529068  
   0.03314752          1.536988  
    0.0347756          1.544299  
   0.03650956          1.551003  
   0.03836568          1.556908  
   0.04036355          1.561997  
   0.04252739          1.566091  
   0.04488917          1.568793  
   0.04750685          1.569871  
   0.05044249          1.568901  
    0.0537482          1.565455  
   0.05754426           1.55899  
   0.06096642          1.556488  
   0.06387165          1.558633  
   0.06694605          1.560038  
   0.07023034          1.560369  
   0.07376318          1.559268  
    0.0776103          1.556599  
   0.08176545          1.552494  
   0.08620592          1.547011  
   0.09091749          1.540451  
   0.09593241          1.532774  
     0.101449          1.522726  
    0.1072484          1.511753  
    0.1133949          1.499549  
    0.1200329          1.485191  
    0.1270169          1.469583  
    0.1343501          1.452787  
    0.1420522          1.434537  
    0.1500856          1.415164  
    0.1583712          1.395186  
    0.1667425          1.375243  
    0.1751502          1.355459  
    0.1839279          1.334825  
    0.1919354          1.318131  
    0.2000333          1.301714  
    0.2081874          1.285478  
    0.2158172          1.271827  

