     Alpha       T1_Re3.000_M0.00_N9.0         Alpha       T1_Re3.000_M0.00_N9.0         Alpha       T1_Re3.000_M0.00_N9.0    
       -23.25        -0.9261278            -23        -0.9635381            -24        -0.9351057  
          -23        -0.9354213         -22.75         -1.024586         -23.75        -0.9657245  
       -22.75         -1.014215          -22.5         -1.102798          -23.5        -0.9938982  
        -22.5         -1.068881         -22.25         -1.167837         -23.25         -1.015828  
       -22.25          -1.13599            -22         -1.212394            -23         -1.046535  
          -22          -1.15268         -21.75         -1.256432         -22.75         -1.082114  
       -21.75         -1.183702          -21.5         -1.286104          -22.5          -1.12557  
        -21.5         -1.192898         -21.25         -1.311436         -22.25         -1.179699  
          -21         -1.222541            -21         -1.331986            -22         -1.231786  
       -20.75         -1.239942         -20.75         -1.348483         -21.75         -1.273154  
        -20.5         -1.242982          -20.5         -1.360832          -21.5         -1.305189  
       -20.25         -1.242905         -20.25         -1.371196         -21.25         -1.330375  
          -20          -1.24202            -20         -1.380241            -21         -1.350021  
       -19.75         -1.253791         -19.75         -1.384101         -20.75         -1.366096  
        -19.5          -1.25131          -19.5         -1.387706          -20.5         -1.378482  
       -19.25         -1.246546         -19.25         -1.391111         -20.25          -1.38872  
          -19         -1.241507            -19         -1.390139            -20         -1.395825  
       -18.75         -1.246995         -18.75         -1.390912         -19.75         -1.401435  
        -18.5         -1.240868          -18.5         -1.388482          -19.5         -1.405047  
       -18.25         -1.233476         -18.25          -1.38595         -19.25         -1.406615  
          -18         -1.225913            -18         -1.382548            -19          -1.40688  
       -17.75         -1.221275         -17.75         -1.377616         -18.75          -1.40589  
        -17.5         -1.217988          -17.5         -1.373561          -18.5         -1.403401  
       -17.25         -1.208227         -17.25         -1.367083         -18.25         -1.399766  
          -17         -1.197362            -17         -1.361064            -18         -1.395001  
       -16.75         -1.186024         -16.75          -1.35292         -17.75         -1.391627  
        -16.5         -1.165396          -16.5         -1.345028          -17.5         -1.395764  
       -16.25         -1.159744         -16.25         -1.335949         -17.25         -1.394902  
          -16          -1.14721            -16         -1.326041            -17         -1.390424  
       -15.75         -1.133857         -15.75         -1.315498         -16.75         -1.383238  
        -15.5          -1.12041          -15.5         -1.303842          -16.5         -1.374352  
       -15.25         -1.107895         -15.25         -1.292227         -16.25         -1.364229  
          -15         -1.098877            -15          -1.27921            -16         -1.353414  
       -14.75         -1.084601         -14.75         -1.266047         -15.75         -1.342002  
        -14.5         -1.078542          -14.5         -1.252091          -15.5         -1.330146  
       -14.25         -1.077071         -14.25         -1.237199         -15.25          -1.31778  
          -14         -1.069831            -14          -1.22155            -15         -1.305033  
       -13.75         -1.060309         -13.75         -1.205605         -14.75         -1.291836  
        -13.5         -1.054546          -13.5         -1.190425          -14.5         -1.278221  
       -13.25         -1.044585         -13.25         -1.176013         -14.25         -1.263964  
          -13         -1.034955            -13         -1.162332            -14         -1.249175  
       -12.75         -1.027861         -12.75         -1.147156         -13.75         -1.234123  
        -12.5         -1.016049          -12.5         -1.103207          -13.5         -1.219213  
       -12.25        -0.9976258         -12.25         -1.075712         -13.25         -1.212287  
          -12        -0.9976581            -12          -1.08399            -13          -1.20529  
       -11.75         -0.995931          -11.5         -1.056545         -12.75         -1.170772  
        -11.5        -0.9971881         -11.25         -1.037537          -12.5         -1.145119  
       -11.25         -1.007187            -11         -1.016418         -12.25          -1.12854  
          -11        -0.9968337         -10.75        -0.9947111            -12         -1.109922  
       -10.75         -0.981491          -10.5        -0.9717402         -11.75         -1.089917  
        -10.5        -0.9636513         -10.25        -0.9481851          -11.5         -1.068948  
       -10.25        -0.9436796            -10        -0.9245678         -11.25         -1.047088  
          -10            -0.922          -9.75         -0.900454         -10.75         -1.001048  
        -9.75        -0.9000357           -9.5        -0.8756888          -10.5        -0.9793166  
         -9.5        -0.8772908          -9.25        -0.8506961         -10.25        -0.9558162  
        -9.25         -0.853932             -9        -0.8254945            -10         -0.931281  
           -9        -0.8299529          -8.75        -0.7997188          -9.75        -0.9063111  
        -8.75        -0.8053045           -8.5        -0.7735936           -9.5         -0.881036  
         -8.5        -0.7800266          -8.25        -0.7477799          -9.25        -0.8552902  
        -8.25        -0.7543044             -8        -0.7228335             -9        -0.8296359  
           -8        -0.7282664          -7.75        -0.6964387          -8.75        -0.8041562  
        -7.75        -0.7019915           -7.5        -0.6696411           -8.5        -0.7780174  
         -7.5        -0.6755389          -7.25        -0.6425787          -8.25         -0.751375  
        -7.25        -0.6488747             -7        -0.6151058             -8         -0.724488  
           -7        -0.6222429          -6.75        -0.5876423          -7.75        -0.6979151  
        -6.75        -0.5948859           -6.5        -0.5605279           -7.5        -0.6709344  
         -6.5         -0.567346          -6.25        -0.5331637          -7.25        -0.6435503  
        -6.25        -0.5396535             -6        -0.5053277             -7        -0.6163223  
           -6        -0.5117867          -5.75        -0.4771057          -6.75        -0.5889126  
           -5         -0.400121           -5.5         -0.449105           -6.5        -0.5610496  
        -4.75        -0.3713897          -5.25        -0.4213743          -6.25        -0.5334985  
         -4.5        -0.3425614             -5        -0.3932926             -6        -0.5055636  
        -4.25        -0.3137819          -4.75        -0.3652689          -5.75        -0.4776122  
           -4        -0.2850991           -4.5        -0.3373675           -5.5        -0.4495745  
        -3.75        -0.2564186          -4.25        -0.3095811          -5.25        -0.4215156  
         -3.5        -0.2279237             -4        -0.2817706             -5        -0.3934049  
        -3.25        -0.1995539          -3.75        -0.2538547          -4.75        -0.3653737  
           -3        -0.1711138           -3.5        -0.2265636           -4.5        -0.3374578  
        -2.75        -0.1426927          -3.25         -0.199559          -4.25        -0.3095131  
           -2       -0.05643849             -3        -0.1722034             -4          -0.28169  
        -1.75       -0.02758055          -2.75        -0.1444149          -3.75        -0.2539569  
         -1.5       0.001093257           -2.5        -0.1151544           -3.5        -0.2266945  
        -1.25        0.03034319          -2.25       -0.08565468          -3.25        -0.1994083  
           -1        0.05973409             -2       -0.05639753             -3        -0.1721784  
        -0.75        0.08880126          -1.75       -0.02705477          -2.75         -0.144028  
         -0.5         0.1181326           -1.5        0.00215806           -2.5        -0.1149739  
        -0.25         0.1476101          -1.25        0.03177477          -2.25       -0.08568752  
            0         0.1771187             -1        0.06123536             -2       -0.05631945  
         0.25         0.2063562          -0.75        0.09071402          -1.75       -0.02707547  
          0.5         0.2351571           -0.5         0.1201245           -1.5       0.002342071  
         0.75         0.2644898          -0.25         0.1494184          -1.25        0.03170575  
            1         0.2938419              0         0.1790491             -1        0.06104727  
         1.25         0.3220148           0.25         0.2086931          -0.75        0.09057319  
          1.5         0.3511389            0.5         0.2382434           -0.5         0.1199885  
         2.25         0.4298103           0.75         0.2676571          -0.25         0.1494417  
          2.5         0.4567022              1         0.2968444              0         0.1789573  
         2.75         0.4841544           1.25         0.3263313            0.5         0.2378307  
            3         0.5104953            1.5         0.3557011           0.75         0.2672737  
         3.25         0.5367959           1.75         0.3848054              1          0.296631  
          3.5         0.5641557              2         0.4139477           1.25          0.325935  
         3.75         0.5899395           2.25          0.442709            1.5         0.3552323  
            4         0.6156683            2.5         0.4718081           1.75          0.384378  
         4.25         0.6429037           2.75         0.5010225              2         0.4135727  
          4.5         0.6698179              3         0.5294238           2.25         0.4425905  
         4.75         0.6967357           3.25          0.558079            2.5         0.4715775  
            5         0.7237738            3.5          0.585158           2.75         0.5004368  
         5.25         0.7504084           3.75         0.6086339              3         0.5291275  
          5.5         0.7741133              4         0.6318046           3.25         0.5577199  
         5.75         0.7998099           4.25         0.6567559            3.5         0.5858342  
            6         0.8254157            4.5          0.681935           3.75         0.6112167  
         6.25         0.8508625           4.75         0.7068074           4.25         0.6591497  
          6.5         0.8760666              5         0.7322626            4.5         0.6841151  
         6.75         0.9009388           5.25         0.7579657           4.75         0.7090235  
            7         0.9253818            5.5         0.7834959              5         0.7344453  
         7.25         0.9491541           5.75         0.8089378           5.25         0.7602691  
          7.5          0.972229              6         0.8349161            5.5         0.7862406  
         7.75         0.9939391           6.25         0.8609512           5.75         0.8120912  
            8          1.015625            6.5         0.8872881              6         0.8382328  
         8.25          1.036426           6.75         0.9129329           6.25         0.8644707  
          8.5          1.056067              7         0.9382526           6.75         0.9168824  
         8.75          1.074162           7.25         0.9640259              7         0.9431828  
            9          1.089742            7.5          0.989829           7.25         0.9689494  
         9.25          1.090471           7.75           1.01494            7.5         0.9947473  
          9.5          1.098713              8           1.03902           7.75          1.020347  
         9.75          1.105267           8.25           1.06264              8          1.045203  
           10          1.111852            8.5          1.086976           8.25          1.070501  
        10.25           1.12095           8.75          1.110193            8.5           1.09476  
         10.5          1.125473              9          1.132138           8.75          1.119133  
        10.75          1.133093           9.25          1.152358              9          1.142946  
           11          1.140531           9.75          1.194875           9.25          1.165527  
         11.5          1.145568             10          1.214979            9.5          1.188908  
        11.75          1.158185          10.25          1.233616           9.75          1.211488  
           12          1.163895           10.5          1.247608             10          1.233159  
        12.25          1.169778          10.75          1.259917           10.5          1.272634  
         12.5          1.178218             11          1.272097          10.75          1.291681  
        12.75           1.18637          11.25          1.283663             11          1.306857  
           13          1.187638           11.5          1.293631          11.25            1.3206  
        13.25          1.194188          11.75          1.307791          11.75          1.343717  
         13.5           1.20144          12.25          1.331627          12.25          1.373221  
        13.75          1.206783           12.5          1.344566           12.5          1.386356  
           14          1.206833          12.75          1.356455          12.75           1.39846  
        14.25          1.212609             13          1.368949             13          1.409083  
         14.5           1.21852          13.25          1.380285          13.25          1.419017  
        14.75          1.219808           13.5          1.391969           13.5          1.432282  
           15          1.220266          13.75          1.402592          13.75          1.445058  
        15.25          1.224854             14          1.413402             14          1.457311  
         15.5          1.229058          14.25          1.423001          14.25          1.469159  
        15.75          1.227814           14.5          1.432227           14.5          1.480651  
           16          1.226653          14.75          1.439834          14.75          1.491577  
        16.25          1.229381             15          1.445739             15          1.501896  
         16.5          1.231617          15.25          1.448402          15.25          1.511506  
        16.75          1.226349           15.5          1.437642           15.5          1.520535  
