     Cd       T1_Re3.000_M0.00_N9.0         Cd       T1_Re9.000_M0.00_N9.0    
    0.2088703         -0.957188      0.1260977         -1.443834  
    0.1950201        -0.9923692      0.1163718         -1.489826  
    0.1840699         -1.018814       0.108415         -1.526986  
    0.1742351         -1.042294       0.100904         -1.558426  
     0.163624         -1.070374     0.09407154          -1.58486  
    0.1513339         -1.108374     0.08788263         -1.607219  
    0.1379037         -1.154107     0.08219802         -1.626124  
    0.1237801         -1.206695     0.07701677         -1.642315  
    0.1119947         -1.249977      0.0724085         -1.654546  
    0.1021556         -1.284978     0.06814375         -1.664774  
   0.09395306         -1.312617     0.06409491         -1.673825  
   0.08708333          -1.33358     0.06038067          -1.68045  
   0.08107509         -1.350618      0.0570112         -1.684964  
   0.07583166         -1.363708     0.05386234         -1.687971  
   0.07115649         -1.373757     0.05090991         -1.689534  
   0.06693605         -1.381547     0.04815403         -1.689917  
   0.06310074         -1.386868     0.04557642         -1.688945  
   0.05964816         -1.389931     0.04316584         -1.686768  
   0.05644136         -1.391554     0.04091198         -1.683668  
   0.05298749         -1.395467     0.03879848         -1.679401  
   0.04890677         -1.405796     0.03682292         -1.674214  
   0.04544533         -1.411542      0.0349764         -1.668437  
   0.04252112         -1.413505     0.03324246          -1.66176  
   0.03998786         -1.412443      0.0316206         -1.654197  
   0.03779797         -1.409088     0.03010574         -1.645519  
   0.03585128          -1.40372     0.02868685         -1.635844  
    0.0340759          -1.39679     0.02735916         -1.625377  
   0.03243368         -1.388804     0.02610893         -1.613926  
   0.03087852         -1.380005     0.02493365          -1.60183  
   0.02940382         -1.370715      0.0238245         -1.588944  
   0.02801141          -1.36073     0.02258864         -1.577748  
   0.02670646         -1.350134      0.0214454         -1.565477  
     0.025485          -1.33888      0.0203989         -1.552172  
   0.02434608         -1.327037     0.01944052         -1.537744  
     0.023287          -1.31459     0.01856765         -1.522383  
   0.02230441          -1.30161     0.01777002         -1.506003  
   0.02139812         -1.288046     0.01703759         -1.488701  
    0.0205881         -1.273657     0.01636474         -1.470934  
   0.01985473          -1.25862      0.0157499         -1.453324  
   0.01871196         -1.250522     0.01518958         -1.436557  
   0.01777959         -1.240473     0.01468396         -1.421367  
   0.01702827         -1.228892     0.01416981          -1.37748  
   0.01639156          -1.21735     0.01391821         -1.370811  
   0.01585127         -1.207485     0.01364284         -1.357113  
   0.01526596         -1.170854     0.01334102         -1.338235  
   0.01486822         -1.144712     0.01304878         -1.318102  
   0.01454895         -1.128204     0.01276757         -1.297028  
     0.014222           -1.1094     0.01249792         -1.275215  
   0.01390139         -1.089308     0.01221682         -1.252996  
   0.01358859         -1.068215     0.01188449         -1.230963  
   0.01329376         -1.046194     0.01157609         -1.208165  
    0.0129182         -1.024738     0.01129442         -1.184711  
   0.01250502         -1.003238     0.01102457         -1.160556  
   0.01217635         -0.980002     0.01077688         -1.135986  
   0.01189114        -0.9558722     0.01054248         -1.110989  
   0.01163292        -0.9313659     0.01032003         -1.085596  
   0.01137118        -0.9062926     0.01011489         -1.059892  
   0.01113622        -0.8809802    0.009914535         -1.033862  
   0.01091767        -0.8551764    0.009726634         -1.007681  
    0.0105919        -0.8302889    0.009539854        -0.9812107  
   0.01034909         -0.804431    0.009341554         -0.954899  
   0.01013502        -0.7780517    0.009123484        -0.9284487  
  0.009955419          -0.75136    0.008929842        -0.9018499  
  0.009721862        -0.7248403     0.00874374        -0.8748374  
   0.00933879        -0.6709343    0.008584054          -0.84767  
  0.009177827        -0.6437042    0.008427031        -0.8201725  
  0.008973907        -0.6164723    0.008291215        -0.7926159  
  0.008826991        -0.5889191    0.008107069        -0.7651553  
  0.008668965        -0.5611683    0.007952405        -0.7375748  
  0.008502338        -0.5335812    0.007810804        -0.7096267  
  0.008365374        -0.5055349    0.007679086        -0.6816753  
  0.008213342        -0.4777027    0.007528092        -0.6536995  
  0.008068583         -0.449564    0.007408451        -0.6254992  
  0.007923136        -0.4215817    0.007287359        -0.5972262  
  0.007759728        -0.3934066    0.007159583        -0.5689364  
  0.007599275        -0.3654113    0.007061465        -0.5404464  
  0.007388774        -0.3373873    0.006945087        -0.5119199  
  0.007178046        -0.3095226    0.006844318        -0.4834041  
  0.006897778        -0.2817523    0.006750924        -0.4545827  
  0.006587528        -0.2541861    0.006650263        -0.4259338  
  0.006233887        -0.2266158    0.006554384        -0.3971197  
  0.005789581        -0.1993929    0.006458872        -0.3682689  
  0.005359903        -0.1720658    0.006258618        -0.3105541  
  0.005033823        -0.1440366    0.006135489        -0.2818007  
  0.004957205        -0.1150146    0.006015275        -0.2529701  
  0.004908458        -0.0856355    0.005861427        -0.2241675  
  0.004864686       -0.05634028    0.005710349         -0.195463  
  0.004833824       -0.02705529    0.005525495        -0.1667363  
  0.004792523       0.002367526    0.005355476         -0.137891  
  0.004770997        0.03166487    0.005173005        -0.1091943  
  0.004753385        0.06111116    0.004987823       -0.08029214  
  0.004741876        0.09059476    0.004760416       -0.05158459  
  0.004744602         0.1199317    0.004596045       -0.02273554  
  0.004743505         0.1495016    0.004330897       0.005988911  
  0.004746398         0.1789429    0.004127989        0.03478759  
  0.004775744         0.2083472    0.004059179        0.06417719  
  0.004767247         0.2378677    0.004022688        0.09373308  
  0.004790405         0.2672371    0.004014684         0.1231667  
  0.004812563         0.2966975    0.004010377         0.1527738  
  0.004840761         0.3259026    0.004025628         0.1821673  
  0.004869689         0.3552419    0.004042229         0.2115316  
  0.004915162         0.3843997    0.004041862         0.2411095  
  0.004952227         0.4135372     0.00405252         0.2705424  
  0.005015049         0.4425777     0.00407403         0.3000378  
  0.005060625         0.4716074    0.004119377         0.3292832  
  0.005136904         0.5004307    0.004181497         0.3585162  
  0.005223007         0.5291492    0.004232729         0.3876553  
  0.005306693         0.5578135    0.004437516         0.4155091  
  0.005891742         0.6111413    0.004786478         0.4420928  
  0.006392765         0.6358341    0.005086478         0.4690402  
  0.006958756         0.6597182    0.005362036         0.4962899  
  0.007453911         0.6842051    0.005602209           0.52378  
  0.007916488         0.7087938    0.005821645         0.5513438  
  0.008273547         0.7343156    0.006133297         0.5781182  
  0.008568788         0.7603072    0.006350404          0.605601  
  0.008859572          0.786255    0.006597128         0.6327499  
  0.009142176         0.8121353    0.006991359         0.6877967  
  0.009388081          0.838323    0.007186645         0.7152584  
  0.009612348         0.8646026    0.007360047          0.742852  
  0.009827704         0.8909125    0.007524598         0.7704161  
   0.01004201         0.9170614    0.007674871         0.7981515  
   0.01024465          0.943297    0.007809064         0.8258639  
   0.01045417         0.9692368     0.00795006         0.8535306  
   0.01069211         0.9948036    0.008090424         0.8810942  
    0.0108879          1.020596    0.008220743          0.908702  
   0.01114393          1.045586    0.008381963         0.9359233  
   0.01136906          1.070711    0.008523458         0.9632304  
   0.01162406          1.095289    0.008685275         0.9902782  
   0.01190464          1.119322    0.008855806           1.01708  
   0.01216233           1.14336    0.009027503          1.043831  
      0.01278          1.189161    0.009220564          1.070165  
   0.01307013          1.211801    0.009408652          1.096513  
   0.01375135          1.254077    0.009622896          1.122346  
   0.01418479          1.272605    0.009816091          1.148383  
   0.01449811          1.291782     0.01003459          1.173875  
   0.01481671          1.307157      0.0102749           1.19901  
   0.01518346          1.321011      0.0104718          1.224471  
   0.01557949          1.333643     0.01068672          1.249584  
    0.0159812          1.344145     0.01091266          1.274289  
   0.01846469          1.399748      0.0111571          1.298535  
   0.01932306          1.411234     0.01141842          1.322306  
   0.02031771          1.421239     0.01168885          1.345618  
   0.02132782          1.431662      0.0119775          1.368423  
   0.02222126          1.444412     0.01227341          1.390632  
   0.02317752           1.45663     0.01254674          1.412911  
   0.02418931          1.468499     0.01282218          1.434638  
   0.02525629          1.480012      0.0131082          1.455654  
   0.02639022          1.490975     0.01340902          1.475793  
   0.02760731          1.501312     0.01369468          1.491505  
   0.02891752          1.510829      0.0140185          1.505052  
   0.03030871           1.51976     0.01437877          1.518526  
   0.03178144          1.528177     0.01476944          1.532082  
   0.03333591          1.535952     0.01519584          1.545415  
   0.03497991          1.543181      0.0156414          1.557833  
   0.03671795          1.549909     0.01664166           1.58317  
   0.03855493          1.556088     0.01729917          1.596272  
   0.04050236          1.561779      0.0180105          1.608998  
   0.04256949          1.566839     0.01877883          1.621374  
   0.04477877             1.571     0.01960569           1.63331  
   0.04713921          1.574415     0.02049689          1.644799  
   0.04967993          1.576807     0.02145755           1.65573  
   0.05245132          1.577676     0.02249522          1.666024  
   0.05552708          1.576746     0.02361596          1.675669  
   0.05896016          1.573674     0.02482388          1.684517  
   0.06275878          1.568404      0.0261258          1.692707  
   0.06696596          1.561098     0.02748189          1.700621  
   0.07171464          1.550868      0.0287535          1.710083  
   0.07604188           1.54457     0.03009293          1.719144  
   0.08001137          1.541587     0.03149883          1.727683  
   0.08423259          1.537388     0.03297719          1.735909  
   0.08881827          1.531459     0.03451775          1.743972  
   0.09374022           1.52421     0.03612204          1.751736  
   0.09888066          1.516237     0.03780882          1.759056  
     0.104566          1.505728     0.03959777          1.765828  
    0.1104909           1.49461     0.04148308          1.772115  
    0.1168125          1.481878     0.04346311          1.777737  
    0.1236156          1.467058     0.04555461          1.782811  
    0.1307189          1.451334     0.04774432          1.787452  
    0.1381211          1.434593      0.0500238          1.791604  
    0.1458155          1.416743     0.05241019          1.795149  
    0.1536577          1.398737     0.05493743          1.798014  
    0.1615489          1.380932     0.05762432           1.80002  
     0.169842          1.361647     0.06044512          1.801213  
    0.1780188          1.343471     0.06340177          1.801803  
    0.1859634          1.326767     0.06649579          1.801829  
    0.1935545          1.312158     0.06972887          1.801197  
    0.2010637           1.29833     0.07311369          1.799725  
      0.20851          1.285157     0.07666499          1.797597  
    0.2157883           1.27297     0.08038942          1.794697  
                                    0.08430813          1.790715  
                                    0.08846577          1.785629  
                                    0.09289196          1.779328  
                                    0.09758017          1.771734  
                                     0.1024879          1.763054  
                                     0.1075692          1.753936  
                                     0.1132842          1.741567  
                                     0.1190199          1.729131  
                                     0.1250156          1.715764  

