     Xtr top       T1_Re3.000_M0.00_N9.0         Xtr top       T1_Re9.000_M0.00_N9.0    
            1         -0.957188              1         -1.443834  
            1        -0.9923692              1         -1.489826  
            1         -1.018814              1         -1.526986  
            1         -1.042294              1         -1.558426  
            1         -1.070374              1          -1.58486  
            1         -1.108374              1         -1.607219  
            1         -1.154107              1         -1.626124  
            1         -1.206695              1         -1.642315  
            1         -1.249977              1         -1.654546  
            1         -1.284978              1         -1.664774  
            1         -1.312617              1         -1.673825  
            1          -1.33358              1          -1.68045  
            1         -1.350618              1         -1.684964  
            1         -1.363708              1         -1.687971  
            1         -1.373757              1         -1.689534  
            1         -1.381547              1         -1.689917  
            1         -1.386868              1         -1.688945  
            1         -1.389931              1         -1.686768  
            1         -1.391554              1         -1.683668  
            1         -1.395467              1         -1.679401  
            1         -1.405796              1         -1.674214  
            1         -1.411542              1         -1.668437  
            1         -1.413505              1          -1.66176  
            1         -1.412443              1         -1.654197  
            1         -1.409088              1         -1.645519  
            1          -1.40372              1         -1.635844  
            1          -1.39679              1         -1.625377  
            1         -1.388804              1         -1.613926  
            1         -1.380005              1          -1.60183  
            1         -1.370715              1         -1.588944  
            1          -1.36073              1         -1.577748  
            1         -1.350134              1         -1.565477  
            1          -1.33888              1         -1.552172  
            1         -1.327037              1         -1.537744  
            1          -1.31459              1         -1.522383  
            1          -1.30161              1         -1.506003  
            1         -1.288046              1         -1.488701  
            1         -1.273657              1         -1.470934  
            1          -1.25862              1         -1.453324  
            1         -1.250522              1         -1.436557  
            1         -1.240473              1         -1.421367  
            1         -1.228892      0.9731466          -1.37748  
            1          -1.21735       0.908846         -1.370811  
            1         -1.207485      0.8862478         -1.357113  
    0.9713822         -1.170854      0.8707209         -1.338235  
    0.9341344         -1.144712      0.8572659         -1.318102  
     0.909721         -1.128204      0.8448883         -1.297028  
    0.8923282           -1.1094      0.8324549         -1.275215  
    0.8778857         -1.089308      0.8211695         -1.252996  
    0.8650301         -1.068215      0.8109897         -1.230963  
    0.8532757         -1.046194      0.8015226         -1.208165  
    0.8420523         -1.024738      0.7920766         -1.184711  
    0.8315643         -1.003238      0.7851538         -1.160556  
    0.8222274         -0.980002      0.7773342         -1.135986  
    0.8141867        -0.9558722      0.7697685         -1.110989  
    0.8058531        -0.9313659      0.7629155         -1.085596  
    0.7983923        -0.9062926      0.7555594         -1.059892  
    0.7907162        -0.8809802       0.749256         -1.033862  
    0.7829488        -0.8551764      0.7416868         -1.007681  
    0.7757739        -0.8302889      0.7353873        -0.9812107  
    0.7682852         -0.804431      0.7272765         -0.954899  
      0.76158        -0.7780517      0.7211597        -0.9284487  
     0.754119          -0.75136      0.7128611        -0.9018499  
    0.7474801        -0.7248403      0.7072395        -0.8748374  
    0.7332116        -0.6709343      0.6995919          -0.84767  
    0.7257232        -0.6437042      0.6944649        -0.8201725  
    0.7188983        -0.6164723      0.6869918        -0.7926159  
    0.7118698        -0.5889191       0.682086        -0.7651553  
    0.7053353        -0.5611683      0.6750332        -0.7375748  
    0.6986873        -0.5335812      0.6699358        -0.7096267  
    0.6923437        -0.5055349       0.663395        -0.6816753  
     0.685779        -0.4777027      0.6578513        -0.6536995  
     0.679682         -0.449564      0.6516344        -0.6254992  
    0.6731127        -0.4215817      0.6455444        -0.5972262  
    0.6673594        -0.3934066      0.6397106        -0.5689364  
    0.6607318        -0.3654113      0.6332319        -0.5404464  
    0.6551103        -0.3373873      0.6281306        -0.5119199  
    0.6485057        -0.3095226      0.6212667        -0.4834041  
    0.6429135        -0.2817523      0.6173376        -0.4545827  
     0.636661        -0.2541861      0.6114459        -0.4259338  
    0.6313549        -0.2266158      0.6065011        -0.3971197  
    0.6256961        -0.1993929      0.6017078        -0.3682689  
    0.6201855        -0.1720658        0.59186        -0.3105541  
    0.6151167        -0.1440366      0.5867372        -0.2818007  
    0.6094032        -0.1150146      0.5815673        -0.2529701  
    0.6047714        -0.0856355      0.5777591        -0.2241675  
    0.5995672       -0.05634028      0.5723229         -0.195463  
    0.5944628       -0.02705529      0.5679689        -0.1667363  
    0.5899295       0.002367526      0.5639413         -0.137891  
    0.5846783        0.03166487      0.5584186        -0.1091943  
      0.58016        0.06111116      0.5546561       -0.08029214  
    0.5756577        0.09059476      0.5501672       -0.05158459  
    0.5705959         0.1199317      0.5436631       -0.02273554  
    0.5663531         0.1495016      0.5401668       0.005988911  
    0.5612474         0.1789429      0.5347867        0.03478759  
    0.5558947         0.2083472       0.529766        0.06417719  
    0.5514805         0.2378677       0.525582        0.09373308  
    0.5463308         0.2672371      0.5186505         0.1231667  
    0.5409752         0.2966975      0.5130882         0.1527738  
    0.5329432         0.3259026      0.5039928         0.1821673  
    0.5251079         0.3552419      0.4950099         0.2115316  
     0.517725         0.3843997      0.4896111         0.2411095  
    0.5080198         0.4135372      0.4831752         0.2705424  
    0.4966843         0.4425777      0.4757506         0.3000378  
     0.486889         0.4716074      0.4644889         0.3292832  
    0.4740543         0.5004307      0.4529889         0.3585162  
    0.4602287         0.5291492      0.4409311         0.3876553  
    0.4466044         0.5578135      0.4029975         0.4155091  
    0.3616353         0.6111413      0.3452919         0.4420928  
    0.2994722         0.6358341       0.295948         0.4690402  
    0.2313827         0.6597182      0.2534039         0.4962899  
    0.1756284         0.6842051      0.2186291           0.52378  
    0.1284415         0.7087938      0.1878087         0.5513438  
    0.0983687         0.7343156      0.1459793         0.5781182  
   0.07773167         0.7603072      0.1201075          0.605601  
   0.06097562          0.786255     0.09374972         0.6327499  
   0.04759817         0.8121353     0.06021381         0.6877967  
   0.03911658          0.838323     0.04775203         0.7152584  
   0.03385952         0.8646026     0.03921047          0.742852  
   0.03042448         0.8909125     0.03285168         0.7704161  
