     Alpha       T1_Re3.000_M0.00_N9.0         Alpha       T1_Re9.000_M0.00_N9.0    
       -23.75         -4.582691            -25         -11.45012  
        -23.5         -5.088547         -24.75          -12.8023  
       -23.25         -5.534929          -24.5         -14.08464  
          -23         -5.982111         -24.25         -15.44464  
       -22.75          -6.54167            -24         -16.84739  
        -22.5         -7.324031         -23.75         -18.28824  
       -22.25         -8.368939          -23.5         -19.78301  
          -22         -9.748698         -23.25         -21.32412  
       -21.75         -11.16104            -23         -22.85017  
        -21.5         -12.57863         -22.75         -24.43033  
       -21.25         -13.97099          -22.5         -26.11479  
          -21         -15.31384         -22.25         -27.83092  
       -20.75         -16.65885            -22         -29.55496  
        -20.5         -17.98336         -21.75         -31.33862  
       -20.25         -19.30613          -21.5         -33.18674  
          -20          -20.6398         -21.25         -35.09398  
       -19.75         -21.97863            -21         -37.05744  
        -19.5         -23.30216         -20.75         -39.07645  
       -19.25         -24.65487          -20.5         -41.15341  
          -19         -26.33579         -20.25         -43.28522  
       -18.75         -28.74441            -20         -45.46662  
        -18.5         -31.06023         -19.75         -47.70179  
       -18.25         -33.24241          -19.5         -49.98908  
          -18          -35.3218         -19.25         -52.31388  
       -17.75         -37.27947            -19         -54.65798  
        -17.5         -39.15397         -18.75         -57.02418  
       -17.25         -40.99056          -18.5         -59.40889  
          -17          -42.8198         -18.25         -61.81508  
       -16.75         -44.69142            -18         -64.24372  
        -16.5         -46.61688         -17.75         -66.69371  
       -16.25         -48.57772          -17.5         -69.84697  
          -16         -50.55459         -17.25         -72.99828  
       -15.75         -52.53599            -17         -76.09096  
        -15.5          -54.5072         -16.75         -79.09995  
       -15.25         -56.45166          -16.5         -81.99116  
          -15         -58.35662         -16.25         -84.74966  
       -14.75         -60.19433            -16         -87.37744  
        -14.5         -61.86374         -15.75         -89.88437  
       -14.25         -63.39144          -15.5         -92.27512  
          -14          -66.8301         -15.25         -94.57512  
       -13.75         -69.76948            -15         -96.79723  
        -13.5         -72.16779         -14.75         -97.21231  
       -13.25         -74.26689          -14.5         -98.49051  
          -13         -76.17589         -14.25         -99.47438  
       -12.75         -76.69701            -14         -100.3098  
        -12.5         -76.99057         -13.75         -101.0135  
       -12.25         -77.54538          -13.5         -101.5877  
          -12         -78.00593         -13.25         -102.0342  
       -11.75         -78.35961            -13         -102.5632  
        -11.5         -78.61117         -12.75         -103.5773  
       -11.25         -78.69812          -12.5         -104.3672  
          -11         -79.32512         -12.25         -104.8935  
       -10.75         -80.22685            -12         -105.2699  
        -10.5         -80.48403         -11.75         -105.4096  
       -10.25         -80.38524          -11.5         -105.3822  
          -10         -80.06295         -11.25          -105.193  
        -9.75         -79.70085            -11         -104.7853  
         -9.5         -79.10942         -10.75         -104.2774  
        -9.25         -78.32956          -10.5         -103.6002  
           -9         -78.38904         -10.25         -102.8539  
        -8.75         -77.72964            -10         -102.2206  
         -8.5         -76.76864          -9.75         -101.7647  
        -8.25         -75.47247           -9.5         -100.9928  
           -8         -74.55777          -9.25          -100.053  
         -7.5         -71.84381             -9         -98.74938  
        -7.25         -70.13688          -8.75         -97.32639  
           -7         -68.69609           -8.5         -95.59708  
        -6.75         -66.71798          -8.25         -94.38125  
         -6.5         -64.73302             -8         -92.74864  
        -6.25           -62.757          -7.75         -90.85194  
           -6         -60.43183           -7.5         -88.77037  
        -5.75         -58.16179          -7.25         -86.83468  
         -5.5         -55.71784             -7          -84.4305  
        -5.25         -53.20895          -6.75         -81.95373  
           -5          -50.6985           -6.5         -79.46502  
        -4.75         -48.08503          -6.25          -76.5346  
         -4.5         -45.66216             -6         -73.70964  
        -4.25         -43.12073          -5.75         -70.62852  
           -4         -40.84682           -5.5         -67.33637  
        -3.75         -38.58596          -5.25         -64.04766  
         -3.5         -36.35224             -5         -60.58841  
        -3.25         -34.43994          -4.75         -57.01752  
           -3         -32.10241          -4.25         -49.62023  
        -2.75         -28.61376             -4         -45.92962  
         -2.5          -23.2015          -3.75         -42.05462  
        -2.25         -17.44652           -3.5         -38.24453  
           -2         -11.58148          -3.25          -34.2296  
        -1.75         -5.597078             -3         -30.17581  
         -1.5          0.494004          -2.75         -25.74766  
        -1.25          6.636951           -2.5         -21.10848  
           -1          12.85634          -2.25         -16.09763  
        -0.75          19.10526             -2         -10.83615  
         -0.5           25.2775          -1.75         -4.946761  
        -0.25          31.51713           -1.5          1.382834  
            0          37.70077          -1.25          8.427248  
         0.25          43.62613             -1          15.81039  
          0.5          49.89624          -0.75           23.3011  
         0.75          55.78592           -0.5          30.67905  
            1          61.65062          -0.25          38.09461  
         1.25          67.32466              0           45.2519  
          1.5           72.9496           0.25          52.33044  
         1.75          78.20693            0.5          59.65308  
            2           83.5053           0.75          66.75904  
         2.25          88.24992              1          73.64645  
          2.5          93.19153           1.25          79.93519  
         2.75          97.41873            1.5          85.73873  
            3          101.3112           1.75          91.58518  
         3.25          105.1151              2           93.6355  
         3.75          103.7284           2.25          92.36287  
            4          99.46151            2.5          92.21315  
         4.25          94.80404           2.75          92.55624  
          4.5          91.79143              3          93.49525  
         4.75          89.53387           3.25          94.70584  
            5          88.75463            3.5          94.25897  
         5.25          88.72984           3.75          95.36416  
          5.5          88.74639              4          95.91292  
         5.75          88.83392            4.5          98.37812  
            6          89.29653           4.75          99.52605  
         6.25          89.94707              5          100.9303  
          6.5          90.65317           5.25          102.3863  
         6.75          91.32247            5.5          103.9954  
            7          92.07702           5.75          105.7571  
         7.25          92.71297              6          107.3615  
          7.5          93.04093           6.25          108.9058  
         7.75          93.73672            6.5          110.5377  
            8          93.82559           6.75          111.6592  
         8.25          94.17762              7          113.0093  
          8.5          94.22602           7.25          114.0181  
         8.75          94.02402            7.5          114.8489  
            9          94.00837           7.75          115.6278  
          9.5          93.04861              8          116.0629  
         9.75           92.7153           8.25          116.5431  
        10.25          91.19664            8.5          116.6329  
         10.5          89.71616           8.75          116.9899  
        10.75          89.10001              9          116.9828  
           11          88.22187           9.25          116.6931  
        11.25          87.00329            9.5          116.9304  
         11.5          85.60248           9.75          116.9287  
        11.75          84.10786             10          116.7716  
        12.75          75.80676          10.25          116.3865  
           13          73.03368           10.5          115.8046  
        13.25          69.95076          10.75          115.1198  
         13.5          67.12649             11          114.2494  
        13.75          65.00138          11.25          113.3045  
           14          62.84667           11.5          112.6118  
        14.25          60.70861          11.75          111.8872  
         14.5          58.59974             12          111.0492  
        14.75          56.49728          12.25          110.0597  
           15          54.38094           12.5          108.9112  
        15.25          52.24616          12.75          107.3618  
         15.5          50.14269             13          105.6089  
        15.75          48.08394          13.25          103.7332  
           16          46.07498           13.5          101.6998  
        16.25           44.1162          13.75          99.59677  
         16.5          42.21121          14.25          95.13293  
        16.75           40.3603           14.5          92.27449  
           17           38.5602          14.75          89.33665  
        17.25          36.80661             15          86.34052  
         17.5           35.0836          15.25          83.30795  
        17.75          33.39925           15.5          80.24625  
           18          31.73931          15.75          77.16304  
        18.25          30.07887             16          74.06123  
         18.5          28.39598          16.25          70.95494  
        18.75          26.69046           16.5          67.85874  
           19          24.99099          16.75          64.79063  
        19.25          23.31181             17          61.88152  
         19.5          21.62554          17.25          59.47392  
