     Alpha       T2-LLT-1156.7kg-x0.5m    
          0.9         0.2607609  
            1         0.2694629  
          1.1         0.2781655  
          1.2         0.2868679  
          1.3         0.2955696  
          1.4         0.3042676  
          1.5         0.3129646  
          1.6         0.3216608  
          1.7          0.330356  
          1.8         0.3390503  
          1.9         0.3477415  
            2         0.3564307  
          2.1         0.3651184  
          2.2         0.3738045  
          2.3         0.3824897  
          2.4         0.3911739  
          2.5         0.3998565  
          2.6         0.4085345  
          2.7         0.4172111  
          2.8         0.4258859  
          2.9         0.4345593  
            3          0.443231  
          3.1         0.4519004  
          3.2         0.4605684  
          3.3          0.469235  
          3.4         0.4778995  
          3.5         0.4865591  
          3.6         0.4952167  
          3.7         0.5038726  
          3.8         0.5125261  
          3.9         0.5211774  
            4         0.5298269  
          4.1         0.5384746  
          4.2         0.5471203  
          4.3         0.5557631  
          4.4         0.5644037  
          4.5         0.5730425  
          4.6         0.5816774  
          4.7         0.5903084  
          4.8         0.5989373  
          4.9         0.6076104  
            5         0.6161887  
          5.1         0.6247771  
          5.2          0.633391  
          5.3         0.6418736  
          5.4         0.6503496  
          5.5         0.6588227  
          5.6         0.6673184  
          5.7         0.6756905  
          5.8         0.6840646  
          5.9         0.6924448  
            6         0.7008421  
          6.1         0.7091329  
          6.2         0.7174426  
          6.3         0.7257337  
          6.4         0.7340427  
          6.5         0.7422612  
          6.6         0.7504967  
          6.7         0.7586942  
          6.8         0.7668321  
          6.9         0.7749904  
            7         0.7831589  
          7.1         0.7912881  
          7.2          0.799426  
          7.3         0.8075579  
          7.4          0.815724  
          7.5         0.8238861  
          7.6         0.8320348  
          7.7         0.8402176  
          7.8         0.8483892  
          7.9         0.8565508  
            8         0.8647085  
          8.1         0.8728642  
          8.2         0.8810253  
          8.3         0.8891574  
          8.4         0.8972871  
          8.5         0.9053378  
          8.6          0.913457  
          8.7          0.921588  
          8.8         0.9296233  
          8.9         0.9376931  
            9         0.9457804  
          9.1         0.9537867  
          9.2         0.9618597  
          9.3          0.969895  
          9.4         0.9779264  
          9.5         0.9859531  
          9.6         0.9939769  
          9.7          1.001998  
          9.8          1.010004  
          9.9           1.01799  
           10          1.025965  
         10.1          1.033929  
         10.2          1.041908  
         10.3          1.049914  
         10.4          1.057901  
         10.5          1.065876  
         10.6          1.073835  
         10.7          1.081783  
         10.8           1.08972  
         10.9           1.09763  
           11          1.105552  
         11.1           1.11346  
         11.2          1.121339  
         11.3          1.129192  
         11.4          1.137024  
         11.5          1.144916  
         11.6          1.152745  
         11.7          1.160594  
         11.8          1.168439  
         11.9          1.176301  
           12          1.184051  

