Scan #,Time,Uniaxial Gage C2A-13-250LW-120 on S1-Ch1 microstrain,Uniaxial Gage C2A-13-250LW-120 on S1-Ch2 microstrain
609,0.00:00:06.09,33.00,-8.00
610,0.00:00:06.10,33.00,-8.00
611,0.00:00:06.11,33.00,-8.00
612,0.00:00:06.12,33.00,-8.00
613,0.00:00:06.13,33.00,-8.00
614,0.00:00:06.14,33.00,-8.00
615,0.00:00:06.15,33.00,-8.00
616,0.00:00:06.16,33.00,-8.00
617,0.00:00:06.17,33.00,-8.00
618,0.00:00:06.18,33.00,-8.00
619,0.00:00:06.19,33.00,-7.00
620,0.00:00:06.20,33.00,-8.00
621,0.00:00:06.21,33.00,-8.00
622,0.00:00:06.22,33.00,-8.00
623,0.00:00:06.23,32.00,-8.00
624,0.00:00:06.24,32.00,-8.00
625,0.00:00:06.25,32.00,-7.00
626,0.00:00:06.26,32.00,-8.00
627,0.00:00:06.27,32.00,-7.00
628,0.00:00:06.28,32.00,-8.00
629,0.00:00:06.29,32.00,-7.00
630,0.00:00:06.30,32.00,-7.00
631,0.00:00:06.31,32.00,-7.00
632,0.00:00:06.32,33.00,-7.00
633,0.00:00:06.33,32.00,-8.00
634,0.00:00:06.34,32.00,-7.00
635,0.00:00:06.35,32.00,-8.00
636,0.00:00:06.36,32.00,-8.00
637,0.00:00:06.37,32.00,-8.00
638,0.00:00:06.38,32.00,-8.00
639,0.00:00:06.39,32.00,-8.00
640,0.00:00:06.40,32.00,-7.00
641,0.00:00:06.41,32.00,-8.00
642,0.00:00:06.42,32.00,-7.00
643,0.00:00:06.43,32.00,-8.00
644,0.00:00:06.44,32.00,-7.00
645,0.00:00:06.45,32.00,-8.00
646,0.00:00:06.46,32.00,-7.00
647,0.00:00:06.47,32.00,-8.00
648,0.00:00:06.48,32.00,-8.00
649,0.00:00:06.49,32.00,-7.00
650,0.00:00:06.50,32.00,-7.00
651,0.00:00:06.51,32.00,-8.00
652,0.00:00:06.52,32.00,-8.00
653,0.00:00:06.53,31.00,-7.00
654,0.00:00:06.54,32.00,-8.00
655,0.00:00:06.55,32.00,-8.00
656,0.00:00:06.56,32.00,-8.00
657,0.00:00:06.57,32.00,-8.00
658,0.00:00:06.58,31.00,-7.00
659,0.00:00:06.59,31.00,-8.00
660,0.00:00:06.60,32.00,-7.00
661,0.00:00:06.61,32.00,-8.00
662,0.00:00:06.62,32.00,-8.00
663,0.00:00:06.63,32.00,-7.00
664,0.00:00:06.64,32.00,-8.00
665,0.00:00:06.65,32.00,-7.00
666,0.00:00:06.66,32.00,-8.00
667,0.00:00:06.67,32.00,-7.00
668,0.00:00:06.68,32.00,-8.00
669,0.00:00:06.69,32.00,-8.00
670,0.00:00:06.70,32.00,-7.00
671,0.00:00:06.71,32.00,-8.00
672,0.00:00:06.72,32.00,-8.00
673,0.00:00:06.73,32.00,-7.00
674,0.00:00:06.74,33.00,-8.00
675,0.00:00:06.75,33.00,-8.00
676,0.00:00:06.76,33.00,-8.00
677,0.00:00:06.77,33.00,-8.00
